id,external_id,title,channel,duration_seconds,stratum_format,stratum_duration,sampling_source,v_tiene_transcripcion,v_fuente_transcripcion,v_transcripcion_auto,v_palabras_por_signo,v_tiene_puntuacion,v_cobertura_transcripcion,v_transcripcion_completa,v_tiene_metadatos,v_tiene_descripcion,v_apto_panel,ritmo_ppm,ritmo_cv,p_tramo_silencioso,palabras_por_frase,preguntas_1000w,mattr_200,p_palabras_contenido,hapax_ratio,long_media_palabra,muletillas_1000w,cifras_100w,anios_1000w,porcentajes_1000w,unidades_1000w,atribucion_1000w,conectores_1000w,matizadores_1000w,absolutos_1000w,ratio_matiz_absoluto,marcadores_estructura_1000w,capitulos_10min,tiene_indice,cta_1000w,patrocinio_1000w,anticipacion_1000w,promocional_1000w,enlaces_total,enlaces_externos,enlaces_fuente,tiene_fuentes_externas,desc_caracteres,desc_timestamps,titulo_palabras_clave,cobertura_titulo,foco_promesa,densidad_tema_100w,n_tags,titulo_p_mayusculas,titulo_exclamaciones,titulo_es_pregunta,titulo_superlativos,titulo_numero_lista,titulo_banderas,et_porcion,et_formato,et_caducidad,et_promesa,et_trazabilidad,et_navegabilidad,et_calidad_dato,et_idioma,et_categoria_yt
88,fq-myE7beiQ,"RUBENS: RICO, EXCÉNTRICO, FAMOSO Y MUCHO MÁS...",Unknown channel,994.0,informativo,medio,,1,supadata,1,18.8,1,1.17,1,1,1,1,175.1,,,18.8,7.93,0.5584,0.442,0.643,4.12,18.96,2.0,0.69,0.0,1.03,0.34,21.37,0.69,4.14,0.256,0.69,,0,0.69,0.0,0.34,0.69,9,4,0,1,861,0,4,1.0,0.021,1.55,32,1.0,0,0,0,0,1,medio,opinion_review,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Education
10,4riNFNeQl8U,No podré volver a Haití...,PlanetaJuan,998.0,practico_personal,medio,,1,youtube_auto,1,19.8,1,1.24,1,1,1,1,185.5,0.195,0.029,19.8,3.57,0.5925,0.438,0.669,4.38,9.4,1.52,0.0,0.65,1.94,0.65,11.02,0.65,7.46,0.144,0.0,0.0,0,0.65,0.0,0.0,0.65,8,4,0,1,756,0,3,0.333,0.034,0.81,2,0.105,0,0,0,0,0,medio,sin_clasificar,perenne,imperativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,People & Blogs
92,4-qYZiBSK7g,We Let Beavers Transform an Old Farm,Unknown channel,839.0,practico_personal,medio,,1,supadata,1,14.5,1,0.99,1,1,1,1,149.0,,,14.5,2.4,0.6653,0.842,0.72,4.95,0.0,0.77,0.48,0.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0,0.0,0.0,0.0,0.0,10,6,0,1,2515,10,3,0.0,,,12,0.2,0,0,0,0,0,medio,sin_clasificar,perenne,declarativa,con_enlaces_externos,timestamps_en_descripcion,transcripcion_automatica,es,Pets & Animals
82,qxSYCNeVPcU,Estados Unidos 1 – 4 Bélgica | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,604,0,8,,,,12,0.217,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
83,W3C444Lo1VI,Suiza 0 – 0 Colombia | Resumen Copa Mundial de la FIFA 2026™,@Replay,306.0,deporte_gaming,corto,,0,ninguna,0,,0,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,0.0,0,,,,,1,0,0,0,512,0,7,,,,7,0.231,0,0,0,0,0,corto,resumen_evento,perecedero,declarativa,solo_enlaces_propios,bloque_continuo,sin_transcripcion,es,Sports
85,1GL4y-TaPU0,Nuevo CHATGPT para Arquitectura e Interiorismo ▶ Proyectos completos,bydavidparra,501.0,informativo,corto,,1,youtube_auto,1,25.6,1,1.12,1,1,1,1,168.7,0.152,0.0,25.6,2.84,0.588,0.492,0.676,4.84,6.39,1.21,0.0,0.0,1.42,0.0,9.94,3.55,2.13,1.54,1.42,0.0,0,0.71,0.0,0.0,0.71,2,1,0,1,573,0,6,0.833,0.001,0.99,22,0.186,0,0,0,0,0,corto,divulgacion,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Science & Technology
94,daiCb6pT1qY,"Isla Nula, ¿real o imaginaria?",Un Mundo Inmenso,545.0,practico_personal,corto,,1,youtube_manual,0,14.7,1,1.07,1,1,1,1,160.0,0.255,0.053,14.7,4.13,0.6408,0.478,0.78,4.71,8.95,3.37,1.38,0.0,4.82,2.06,11.01,3.44,5.51,0.656,0.0,0.0,0,0.0,0.0,0.69,0.0,8,3,0,1,745,0,4,1.0,0.023,2.68,4,0.087,0,1,0,0,0,corto,sin_clasificar,perenne,pregunta,con_enlaces_externos,bloque_continuo,transcripcion_humana,es,Travel & Events
22,XCILjE7xPc4,HOY EMPEZÓ EL MUNDIAL,Luquitas Rodriguez,2256.0,entretenimiento,largo,,1,youtube_auto,1,8.0,1,1.03,1,1,1,1,155.0,0.198,0.026,8.0,19.73,0.5619,0.478,0.629,4.05,20.93,1.8,1.2,0.0,1.03,0.17,8.75,0.34,7.21,0.109,0.0,0.0,0,0.0,0.0,0.17,0.0,8,1,0,1,601,0,2,0.5,0.003,0.67,27,1.0,0,0,0,0,1,largo,conversacion_larga,perecedero,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,Entertainment
90,FihFsJYqVa4,EL MOSSAD ARMA A LOS KURDOS con las armas que le quitó a Hamás y Hezbolá - @SoloFonseca,Solo Fonseca,,informativo,,,1,supadata,1,17.3,1,,0,1,1,0,,,,17.3,7.21,0.6084,0.467,0.661,4.47,9.89,2.36,0.99,1.27,2.54,0.99,14.55,2.4,4.8,0.547,1.55,,0,0.71,0.0,0.0,0.71,16,4,1,1,4302,0,8,0.25,0.094,0.21,23,0.382,0,0,0,0,0,desconocida,actualidad,perenne,declarativa,con_fuentes_verificables,bloque_continuo,transcripcion_parcial,es,News & Politics
91,FvxHvj6C3_8,TAIWÁN APRENDE DE UCRANIA y sorprende a Xi Jinping - @SoloFonseca,Solo Fonseca,1398.0,informativo,medio,,1,supadata,1,16.9,1,1.23,1,1,1,1,185.2,,,16.9,6.95,0.625,0.492,0.72,4.62,6.72,2.94,2.09,0.23,6.95,0.46,10.66,1.85,4.87,0.438,0.93,,0,0.93,0.0,0.23,0.93,4,1,0,1,2237,0,6,0.333,0.008,1.48,22,0.491,0,0,0,0,0,medio,actualidad,perenne,declarativa,con_enlaces_externos,bloque_continuo,transcripcion_automatica,es,News & Politics
